id,A,prod,len
0,S',YOGOD,1
1,YOGOD,yogod ( ) { EXPR },6
2,EXPR,TIPO id EXPR,3
3,EXPR,DE,1
4,EXPR,OP,1
5,EXPR,INOUT,1
6,EXPR,ATR,1
7,ATR,id = STMT END,4
8,ATR,id = STMT,3
9,TIPO,yoint,1
10,TIPO,yofloat,1
11,TIPO,yochar,1
12,VALOR,int,1
13,VALOR,float,1
14,VALOR,char,1
15,VALOR,true,1
16,VALOR,false,1
17,INOUT,INPUT,1
18,INOUT,OUTPUT,1
19,INPUT,scanfi ( id ),4
20,OUTPUT,printfi ( OUTPUTVALUE ),4
21,OUTPUTVALUE,id,1
22,OUTPUTVALUE,string,1
23,OUTPUTVALUE,TIPO,1
24,DE,eoq ( STMT ) { EXPR } END,8
25,DE,eoq ( STMT ) { EXPR } ,7
26,DE,eoq ( STMT ) { EXPR } trab { EXPR } END,12
27,DE,eoq ( STMT ) { EXPR } trab { EXPR },11
28,DE,holy ( STMT ) { EXPR } END,8
29,DE,holy ( STMT ) { EXPR },7
30,DE,fon ( id = VALOR ; id OPRELACIONAL1 VALOR ; UNARIO ) { EXPR } END,16
31,DE,fon ( id = VALOR ; id OPRELACIONAL1 VALOR ; UNARIO ) { EXPR },15
32,DE,circo ( id ) { CASO } END,8
33,DE,circo ( id ) { CASO },7
34,CASO,soled id : EXPR break CASO,6
35,CASO,soled id : EXPR break,5
36,CASO,soled VALOR : EXPR break CASO,6
37,CASO,soled VALOR : EXPR break,5
38,STMT,VALOR,1
39,STMT,OP,1
40,OP,OPARITMETICO,1
41,OP,OPLOGICO,1
42,OP,OPRELACIONAL,1
43,OP,id,1
44,OP,( OP ),3
45,OPARITMETICO,id OPARITMETICO2 STMT,3
46,OPARITMETICO,id OPARITMETICO1 STMT,3
47,OPLOGICO,id OPLOGICO2 STMT,3
48,OPLOGICO,id OPLOGICO1 STMT,3
49,OPLOGICO,! OP,2
50,OPRELACIONAL,id OPRELACIONAL1 STMT,3
51,OPRELACIONAL,id OPRELACIONAL1 STMT,3
52,OPRELACIONAL1,==,1
53,OPRELACIONAL1,!=,1
54,OPRELACIONAL1,>,1
55,OPRELACIONAL1,>=,1
56,OPRELACIONAL1,<,1
57,OPRELACIONAL1,<=,1
58,OPARITMETICO1,+,1
59,OPARITMETICO1,-,1
60,OPARITMETICO2,/,1
61,OPARITMETICO2,*,1
62,OPLOGICO1,&&,1
63,OPLOGICO2,||,1
64,UNARIO,id ++,2
65,UNARIO,id --,2
66,END,EXPR,1
67,END,solado,1