Estados,yogod,(,),{,solado,;,},yoint,yofloat,yobool,yochar,id, comma,lambda,int,float,bool,char,scanfi,printfi,+,string,eoq,holy,fon,circo,trab,soled,:,break,lag,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,true,false,=,$,S',YOGOD,EXPR,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA
0,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,6,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
6,,,,,E41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,R2,,,R2,,R2,R2,R2,R2,R2,R2,,,,,,,R2,R2,,,R2,R2,R2,R2,,,,R2,,R2,R2,R2,R2,R2,R2,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,R3,,,R3,,R3,R3,R3,R3,R3,R3,,,,,,,R3,R3,,,R3,R3,R3,R3,,,,R3,,R3,R3,R3,R3,R3,R3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,R4,,,R4,,R4,R4,R4,R4,R4,R4,,,,,,,R4,R4,,,R4,R4,R4,R4,,,,R4,,R4,R4,R4,R4,R4,R4,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,R5,,,R5,,R5,R5,R5,R5,R5,R5,,,,,,,R5,R5,,,R5,R5,R5,R5,,,,R5,,R5,R5,R5,R5,R5,R5,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,E44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,E45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,E46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,E47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,R43,R43,,R43,R43,R43,R43,R43,R43,R43,R43,,,,,,,R43,R43,,,R43,R43,R43,R43,,,,R43,,R43,R43,R43,R43,R43,R43,R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,R44,R44,,R44,R44,R44,R44,R44,R44,R44,R44,,,,,,,R44,R44,,,R44,R44,R44,R44,,,,R44,,R44,R44,R44,R44,R44,R44,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,R45,R45,,R45,R45,R45,R45,R45,R45,R45,R45,,,,,,,R45,R45,,,R45,R45,R45,R45,,,,R45,,R45,R45,R45,R45,R45,R45,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,R19,,,R19,,R19,R19,R19,R19,R19,R19,,,,,,,R19,R19,,,R19,R19,R19,R19,,,,R19,,R19,R19,R19,R19,R19,R19,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,R20,,,R20,,R20,R20,R20,R20,R20,R20,,,,,,,R20,R20,,,R20,R20,R20,R20,,,,R20,,R20,R20,R20,R20,R20,R20,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,R46,R46,,R46,R46,R46,R46,R46,R46,R46,R46,,,,,,,R46,R46,E49,,R46,R46,R46,R46,,,,R46,,R46,R46,R46,R46,R46,R46,R46,E50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,
26,,R48,R48,,R48,R48,R48,R48,R48,R48,R48,R48,,,,,,,R48,R48,,,R48,R48,R48,R48,,,,R48,,R48,R48,R48,R48,R48,R48,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,R54,R54,,R54,R54,R54,R54,R54,R54,R54,R54,,,R54,R54,R54,R54,R54,R54,,,R54,R54,R54,R54,,,,R54,,R54,R54,R54,R54,R54,R54,R54,,,,,,,E52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,
28,,R62,R62,,R62,R62,R62,R62,R62,R62,R62,R62,,,,,,,R62,R62,,,R62,R62,R62,R62,,,,R62,,R62,R62,R62,R62,R62,R62,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,R63,R63,,R63,R63,R63,R63,R63,R63,R63,R63,,,,,,,R63,R63,,,R63,R63,R63,R63,,,,R63,,R63,R63,R63,R63,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,R64,R64,,R64,R64,R64,R64,R64,R64,R64,R64,,,,,,,R64,R64,,,R64,R64,R64,R64,,,,R64,,R64,R64,R64,R64,R64,R64,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,R65,R65,,R65,R65,R65,R65,R65,R65,R65,R65,,,,,,,R65,R65,,,R65,R65,R65,R65,,,,R65,,R65,R65,R65,R65,R65,R65,R65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,R66,R66,,R66,R66,R66,R66,R66,R66,R66,R66,,,,,,,R66,R66,,,R66,R66,R66,R66,,,,R66,,R66,R66,R66,R66,R66,R66,R66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,R67,R67,,R67,R67,R67,R67,R67,R67,R67,R67,,,,,,,R67,R67,,,R67,R67,R67,R67,,,,R67,,R67,R67,R67,R67,R67,R67,R67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,E54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,R49,R49,,R49,R49,R49,R49,R49,R49,R49,R49,,,,,,,R49,R49,R49,,R49,R49,R49,R49,,,,R49,,R49,R49,R49,R49,R49,R49,R49,R49,E56,E57,E58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,
37,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,R58,R58,R58,R58,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,E60,E61,R58,R58,R58,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,
38,,R56,R56,,R56,R56,R56,R56,R56,R56,R56,R56,,,R56,R56,R56,R56,R56,R56,,,R56,R56,R56,R56,,,,R56,,R56,R56,R56,R56,R56,R56,R56,,,,,,,R56,E63,E64,E65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,
39,,E39,,,,,,,,,,E37,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,25,36,26,67,27,38,,,,,,,
40,,E69,,,,,,,,,,E68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,E70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,E74,,,,,,,E72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E75,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,73
43,,,R11,,,R11,,,,,,,R11,,,,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,76,78,16,25,36,26,17,27,38,18,,,,,,
45,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,83,78,16,25,36,26,17,27,38,18,,,,,,
46,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,84,78,16,25,36,26,17,27,38,18,,,,,,
47,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,E88,,,,,,,,,,E87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,36,,,,,,,,,,,
49,,R68,,,,,,,,,,R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,R69,,,,,,,,,,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,38,,,,,,,
52,,R75,,,,,,,,,,R75,,,,,,,,,,,,,,,,,,,,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,E43,,,,,,,,,,E96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,93,94,,,,,,,,,,,,,,,,,,,,,
55,,E88,,,,,,,,,,E87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,
56,,R70,,,,,,,,,,R70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,R71,,,,,,,,,,R71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,R72,,,,,,,,,,R72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,R53,R53,,R53,R53,R53,R53,R53,R53,R53,R53,,,,,,,R53,R53,,,R53,R53,R53,R53,,,,R53,,R53,R53,R53,R53,R53,R53,R53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,R73,R73,,R73,R73,R73,R73,R73,R73,R73,R73,,,,,,,R73,R73,,,R73,R73,R73,R73,,,,R73,,R73,R73,R73,R73,R73,R73,R73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,R74,R74,,R74,R74,R74,R74,R74,R74,R74,R74,,,,,,,R74,R74,,,R74,R74,R74,R74,,,,R74,,R74,R74,R74,R74,R74,R74,R74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,
63,,R76,,,,,,,,,,R76,,,,,,,,,,,,,,,,,,,,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,R77,,,,,,,,,,R77,,,,,,,,,,,,,,,,,,,,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,R78,,,,,,,,,,R78,,,,,,,,,,,,,,,,,,,,R78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,E99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,E100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,R59,R59,,R59,R59,R59,R59,R59,R59,R59,R59,,,R59,R59,R59,R59,R59,R59,,,R59,R59,R59,R59,,,,R59,,R59,R59,R59,R59,R59,R59,R59,,,,,,,R59,R59,R59,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,27,38,,,,,,,
70,,,,,,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,103,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
72,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,E79,E80,E81,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,R14,,,,,,R14,R14,R14,R14,R14,,,,,,,R14,R14,,,R14,R14,R14,R14,,,,,,R14,R14,R14,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,R79,R79,R79,R79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,E106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,R41,,,R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,R42,,,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,R15,R15,,,R15,,,,,,R15,,R15,,,,,,,,,,,,,,,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,R16,R16,,,R16,,,,,,R16,,R16,,,,,,,,,,,,,,,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,R17,R17,,,R17,,,,,,R17,,R17,,,,,,,,,,,,,,,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,R18,R18,,,R18,,,,,,R18,,R18,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,E107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,E108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,E109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,R47,R47,,R47,R47,R47,R47,R47,R47,R47,R47,,,,,,,R47,R47,,,R47,R47,R47,R47,,,,R47,,R47,R47,R47,R47,R47,R47,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
