Estados,yogod,(,),{,solado,;,},yoint,yofloat,yobool,yochar,id, comma,lambda,int,float,bool,char,scanfi,printfi,+,string,eoq,holy,fon,circo,trab,soled,:,break,lag,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,true,false,=,$,S',YOGOD,EXPR,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA
87,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,E88,,,,,,,,,,E110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,25,36,26,,,,,,,,,,
89,,R55,R55,,R55,R55,R55,R55,R55,R55,R55,R55,,,R55,R55,R55,R55,R55,R55,,,R55,R55,R55,R55,,,,R55,,R55,R55,R55,R55,R55,R55,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,R58,R58,,R58,R58,R58,R58,R58,R58,R58,R58,,,R58,R58,R58,R58,R58,R58,,,R58,R58,R58,R58,,,,R58,,R58,R58,R58,R58,R58,R58,R58,,,,,,,R58,R58,R58,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,27,38,,,,,,,
92,,,E111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,E112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,E113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,R24,,,,,,,,,,,,,,,,,,E114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,R26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,R50,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,R50,R50,R50,,R50,R50,R50,R50,,,,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,R57,R57,,R57,R57,R57,R57,R57,R57,R57,R57,,,R57,R57,R57,R57,R57,R57,,,R57,R57,R57,R57,,,,R57,,R57,R57,R57,R57,R57,R57,R57,,,,,,,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,R52,R52,,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,R52,R52,R52,,R52,R52,R52,R52,,,,R52,,R52,R52,R52,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,R60,R60,,R60,R60,R60,R60,R60,R60,R60,R60,,,R60,R60,R60,R60,R60,R60,,,R60,R60,R60,R60,,,,R60,,R60,R60,R60,R60,R60,R60,R60,,,,,,,R60,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,E115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,R6,,,R6,,R6,R6,R6,R6,R6,R6,,,,,,,R6,R6,,,R6,R6,R6,R6,,,,R6,,R6,R6,R6,R6,R6,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,E74,,,,,,,E72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E75,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,73
105,,,,,,,,,,,,,,E117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,
107,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,E79,E80,E81,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,E123,,,E124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,
110,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,E60,E61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,
111,,,,,,E125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,E126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,E127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,128,,,,,,,,,,,,,,,,,,,,,,
115,,R61,R61,,R61,R61,R61,R61,R61,R61,R61,R61,,,R61,R61,R61,R61,R61,R61,,,R61,R61,R61,R61,,,,R61,,R61,R61,R61,R61,R61,R61,R61,,,,,,,R61,R61,R61,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,R12,,,,,,R12,R12,R12,R12,R12,,,,,,,R12,R12,,,R12,R12,R12,R12,,,,,,R12,R12,R12,R12,R12,R12,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,E129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,E131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,
119,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,132,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
120,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,133,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
121,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,27,38,,,,,,,
122,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,135,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
123,,,,,,,,,,,,E136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,R21,,,R21,,R21,R21,R21,R21,R21,R21,,,,,,,R21,R21,,,R21,R21,R21,R21,,,,R21,,R21,R21,R21,R21,R21,R21,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,R22,,,R22,,R22,R22,R22,R22,R22,R22,,,,,,,R22,R22,,,R22,R22,R22,R22,,,,R22,,R22,R22,R22,R22,R22,R22,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,R23,,,R23,,R23,R23,R23,R23,R23,R23,,,,,,,R23,R23,,,R23,R23,R23,R23,,,,R23,,R23,R23,R23,R23,R23,R23,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,R13,,,,,,R13,R13,R13,R13,R13,,,,,,,R13,R13,,,R13,R13,R13,R13,,,,,,R13,R13,R13,R13,R13,R13,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,138,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
131,,,,E119,,,,,,,,,,,,,,,,,,,E140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,
132,,,,,,,E141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,R28,,,R28,,R28,R28,R28,R28,R28,R28,,,,,,,R28,R28,,,R28,R28,R28,R28,,,,R28,,R28,R28,R28,R28,R28,R28,R28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,E79,E80,E81,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,R30,,,R30,,R30,R30,R30,R30,R30,R30,,,,,,,R30,R30,,,R30,R30,R30,R30,,,,R30,,R30,R30,R30,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,144,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
138,,R27,,,R27,,R27,R27,R27,R27,R27,R27,,,,,,,R27,R27,,,R27,R27,R27,R27,,,,R27,,R27,R27,R27,R27,R27,R27,R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,145,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
140,,E146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,R40,,,,,,R40,R40,R40,R40,R40,,,,,,,R40,R40,,,R40,R40,R40,R40,R40,,,,,R40,R40,R40,R40,R40,R40,R40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,E147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,148,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,R31,,,,,,R31,R31,R31,R31,R31,,,,,,,R31,R31,,,R31,R31,R31,R31,,,,,,R31,R31,R31,R31,R31,R31,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,150,78,16,25,36,26,17,27,38,18,,,,,,
147,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,151,78,16,25,36,26,17,27,38,18,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,E153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,E154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,E155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,E156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,R39,,,,,,R39,R39,R39,R39,R39,,,,,,,R39,R39,,,R39,R39,R39,R39,,,,,,R39,R39,R39,R39,R39,R39,R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,
155,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,
156,,R38,,,,,,R38,R38,R38,R38,R38,,E159,,,,,R38,R38,,,R38,R38,R38,R38,,,,,,R38,R38,R38,R38,R38,R38,R38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,E162,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,161,7,11,,,,10,19,20,,,8,,160,,,,9,16,25,36,26,17,27,38,18,,,,,,
158,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,163,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,E123,,,E124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,
160,,R32,,,,,,R32,R32,R32,R32,R32,,,,,,,R32,R32,,,R32,R32,R32,R32,,,,,,R32,R32,R32,R32,R32,R32,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,R33,,,,,,R33,R33,R33,R33,R33,,,,,,,R33,R33,,,R33,R33,R33,R33,,,,,,R33,R33,R33,R33,R33,R33,R33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,E119,,,,,,,,,,,,,,,,,,,E165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,
163,,R29,,,R29,,R29,R29,R29,R29,R29,R29,,,,,,,R29,R29,,,R29,R29,R29,R29,,,,R29,,R29,R29,R29,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,R37,,,,,,R37,R37,R37,R37,R37,,,,,,,R37,R37,,,R37,R37,R37,R37,,,,,,R37,R37,R37,R37,R37,R37,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,E167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,168,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
167,,E39,,,,,,,,,,E37,,,E79,E80,E81,E82,,,,,,,,,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,169,78,16,25,36,26,17,27,38,18,,,,,,
168,,R36,,,,,,R36,R36,R36,R36,R36,,,,,,,R36,R36,,,R36,R36,R36,R36,,,,,,R36,R36,R36,R36,R36,R36,R36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,E170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,
171,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,E162,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,173,7,11,,,,10,19,20,,,8,,172,,,,9,16,25,36,26,17,27,38,18,,,,,,
172,,R34,,,,,,R34,R34,R34,R34,R34,,,,,,,R34,R34,,,R34,R34,R34,R34,,,,,,R34,R34,R34,R34,R34,R34,R34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,R35,,,,,,R35,R35,R35,R35,R35,,,,,,,R35,R35,,,R35,R35,R35,R35,,,,,,R35,R35,R35,R35,R35,R35,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,